Station,Cast,Pin,Time,Depth
24,1,6,11:04:07,1800
24,1,7,11:16:51,1400
24,1,8,11:23:01,1198
24,1,9,11:29:14,1000
24,1,10,11:32:15,900
25,1,1,08:46:16,1097
25,1,2,08:55:48,919
25,1,3,08:58:35,850
25,1,4,09:00:31,799
25,1,5,09:04:52,680
25,1,6,09:09:44,2092
25,1,7,09:12:04,485
25,1,8,09:17:51,329
25,1,9,09:22:07,215
25,1,10,09:23:28,179
25,2,1,10:53:34,125
25,2,2,10:55:14,83
25,2,3,10:57:15,39
25,2,4,10:58:20,14
26,1,1,14:31:05,124
26,1,2,14:33:26,84
26,1,3,14:35:09,38
26,1,4,14:36:08,15
26,2,1,17:15:59,1001
26,2,2,17:24:12,850
26,2,3,17:27:34,750
26,2,4,17:31:02,649
26,2,5,17:32:42,600
26,2,6,17:36:07,500
26,2,7,17:39:27,400
26,2,8,17:41:07,349
26,2,9,17:43:41,274
26,2,10,17:48:13,139
27,1,1,09:07:58,118
27,1,2,09:11:19,101
27,1,3,09:11:35,94
27,1,4,09:11:43,90
27,1,5,09:12:03,79
27,1,6,09:12:20,70
27,1,7,09:12:38,60
27,1,8,09:12:50,54
27,1,9,09:13:38,27
27,1,10,09:14:17,9
29,1,1,16:47:54,86
29,1,2,16:50:41,77
29,1,3,16:50:48,74
29,1,4,16:50:56,70
29,1,5,16:51:07,65
29,1,6,16:51:37,49
29,1,7,16:52:17,30
29,1,8,16:52:54,10
29,2,1,17:18:03,86
30,1,1,18:51:04,199
30,1,2,18:53:23,180
30,1,3,18:54:28,150
30,1,4,18:55:13,130
30,1,5,18:55:56,110
30,1,6,18:57:11,75
30,1,7,18:58:25,40
30,1,8,18:59:09,19
30,1,9,19:00:53,9
31,1,1,13:20:26,649
31,1,2,13:22:08,600
31,1,3,13:25:34,500
31,1,4,13:27:31,440
31,1,5,13:28:55,399
31,1,6,13:30:19,360
31,1,7,13:34:22,240
31,1,8,13:36:29,179
31,1,9,13:39:41,85
31,1,10,13:42:27,33
31,1,11,13:43:39,10
31,2,1,15:21:42,819
31,2,2,15:25:42,800
31,2,3,15:27:26,750
31,2,4,15:29:10,699
32,2,1,18:52:56,180
32,2,2,18:56:29,160
32,2,3,18:57:32,140
32,2,4,18:58:38,120
32,2,5,18:59:40,99
32,2,6,19:00:40,80
32,2,7,19:01:42,60
32,2,8,19:03:16,29
32,2,9,19:06:46,9
33,1,1,14:07:41,94
33,1,2,14:10:51,79
33,1,3,14:11:20,69
33,1,4,14:11:50,60
33,1,5,14:12:50,40
33,1,6,14:13:22,30
33,1,7,14:13:50,20
33,1,8,14:14:25,10
34,1,1,12:35:03,98
34,1,2,12:38:56,79
34,1,3,12:39:27,70
34,1,4,12:39:42,65
34,1,5,12:40:15,55
34,1,6,12:41:20,35
34,1,7,12:41:51,25
34,1,8,12:43:33,10
34,2,1,18:58:42,104
34,2,2,19:01:48,90
34,2,3,19:02:17,80
34,2,4,19:02:47,71
34,2,5,19:03:18,60
34,2,6,19:04:18,39
34,2,7,19:05:02,24
34,2,8,19:05:44,10
35,1,1,08:25:49,198
35,1,2,08:30:13,180
35,1,3,08:31:08,161
35,1,4,08:32:08,140
35,1,5,08:33:08,120
35,1,6,08:35:08,79
35,1,7,08:37:03,40
35,1,8,08:37:59,20
35,1,9,08:40:50,10
36,1,1,13:12:22,190
36,1,2,13:15:27,180
